平板电脑,价格（美元）,操作系统,显示器大小（英寸）,电池寿命（小时）,CPU厂商
Acer Iconia W510,599,Windows,10.1,8.5,英特尔
Amazon Kindle Fire HD,299,Android,8.9,9,德州仪器
Apple iPad 4,499,iOS,9.7,11,苹果
HP Envy X2,860,Windows,11.6,8,英特尔
Lenovo ThinkPad Tablet,668,Windows,10.1,10.5,英特尔
Microsoft Surface Pro,899,Windows,10.6,4,英特尔
Motorola Droid XYboard,530,Android,10.1,9,德州仪器
Samsung Atiy Smart PC,590,Windows,11.6,7,英特尔
Samsung Galaxy Tab,525,Android,10.1,10,英伟达
Sony Tablet S,360,Android,9.4,8,英伟达
